Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",_0805MP,2,10uF,C1713
"C10, C8",_0402NO,2,1uF,C14445
"C11, C12, C13, C14, C15, C5, C6, C7, C9",_0402NO,9,100nF,C1525
"C2, C3",_0402NO,2,12pF,C326662
IC1,QFN56_7MM_REDUCEDEPAD,1,RP2040_QFN56,C2040
"R1, R5",_0402NO,2,10K,C60490
"R2, R6",_0402NO,2,1k,C140196
"R4, R7",_0402NO,2,27,C25100
"U$1, U$2, U$3, U$5",1X10_ROUND,4,HEADER-1X10ROUND,
U1,SOIC8_208MIL,1,W25Q128JVS,C97521
U2,SOT23-5@1,1,AP2112-3.3,C51118
Y1,CRYSTAL-SMD-5X3,1,12MHz,C362359
