Designator,Mid X,Mid Y,Rotation,Layer
C1,124.132975,-102.93985,270.0,top
C10,142.1511,-100.5586,180.0,bottom
C11,142.1511,-105.6386,180.0,bottom
C12,154.8511,-101.8286,0.0,bottom
C13,142.1511,-109.369225,180.0,bottom
C14,154.8511,-107.8611,0.0,bottom
C15,154.8511,-100.5586,0.0,bottom
C2,159.692975,-108.4961,0.0,top
C3,167.789225,-107.70235,90.0,top
C4,129.689225,-102.93985,90.0,top
C5,136.515475,-106.829225,0.0,bottom
C6,142.1511,-104.3686,180.0,bottom
C7,154.8511,-106.5911,0.0,bottom
C8,142.1511,-101.8286,180.0,bottom
C9,142.1511,-103.0986,180.0,bottom
IC1,148.5011,-105.0036,45.0,top
R1,154.8511,-109.1311,0.0,bottom
R2,136.515475,-104.289225,180.0,bottom
R4,141.119225,-101.35235,0.0,top
R5,136.515475,-105.559225,180.0,bottom
R6,159.692975,-106.9086,180.0,top
R7,138.3411,-100.5586,0.0,top
U$1,161.2011,-98.6536,0.0,top
U$2,135.8011,-98.6536,0.0,top
U$3,161.2011,-111.3536,0.0,top
U$5,135.8011,-111.3536,0.0,top
U1,136.4361,-105.082975,90.0,top
U2,126.9111,-102.93985,0.0,top
Y1,163.979225,-107.70235,180.0,top
